JSON: {"text": "“仅仅十二分钟，看懂的人却花了整整数十年！”", "url": "https://www.bilibili.com/video/BV1GW421d7Sj/"}
JSON: {"text": "《MOM》窗外有千纸鹤/动漫卡点/母爱/爱情/梦汐 MXA 第四届MAD比赛－单人作品", "url": "https://www.bilibili.com/video/BV18b4y1x7hs/"}
JSON: {"text": "【你的名字/蓝光画质1080P/前前前世】AE渲染超爆炸燃向MAD·AMV", "url": "https://www.bilibili.com/video/BV1Nx411x73X/"}
JSON: {"text": "“谨以此视频献给热爱动漫的你”", "url": "https://www.bilibili.com/video/BV1Fypue5EDw/"}
JSON: {"text": "【静止系MAD】心病【我心里危险的东西】", "url": "https://www.bilibili.com/video/BV1xT421U76p/"}
JSON: {"text": "【静止系MAD】in the room【污秽不堪的你最可爱了】", "url": "https://www.bilibili.com/video/BV1nU4y1A7Xh/"}
JSON: {"text": "“嘘……圆神降临了”", "url": "https://www.bilibili.com/video/BV1Ru4y1W7T6/"}
JSON: {"text": "“所以爱情啊，它苦涩如歌...”", "url": "https://www.bilibili.com/video/BV1hr2mYVEvX/"}
JSON: {"text": "【池袋金曲】I Got MyGO!!!!!", "url": "https://www.bilibili.com/video/BV1Uc411o7kJ/"}
JSON: {"text": "⚠️⚠️⚠️Avid，泽野最顶的歌曲之一,我不允许你不知道", "url": "https://www.bilibili.com/video/BV1JF411u7mD/"}
JSON: {"text": "【𝗘𝗩𝗔/𝟲𝟬帧】𝘿𝙞𝙚 𝙁𝙤𝙧 𝙔𝙤𝙪-警告⚠️初号机即将暴走！", "url": "https://www.bilibili.com/video/BV1W94y1H7E8/"}
JSON: {"text": "前方惊艳无限！这首《Re：make》将带你走进不一样的二次元世界！", "url": "https://www.bilibili.com/video/BV17b4y1a742/"}
JSON: {"text": "【魔圆/视觉盛宴/踩点𝑴𝑨𝑫】粉碎这无止境的绝望！", "url": "https://www.bilibili.com/video/BV1fFtSePEae/"}
JSON: {"text": "《循迹》“可惜生活不是电影，没那么多兜兜转转”", "url": "https://www.bilibili.com/video/BV1bp421Q7yT/"}
JSON: {"text": "【4K】《新·福音战士剧场版》MAD「残酷天使的行动纲领 | 绫波丽・明日香・葛城美里 合唱版」序破Q AI修复画质增强版", "url": "https://www.bilibili.com/video/BV1SL411x7rS/"}
JSON: {"text": "【芙莉莲/完结𝐀𝐌𝐕】“事先声明，我可是很强的哦”", "url": "https://www.bilibili.com/video/BV14K421i721/"}
JSON: {"text": "【MAD/游戏王/人物向】就算世界的一切都消失在这海色中，我也不会将你忘记", "url": "https://www.bilibili.com/video/BV1dF411a78h/"}
JSON: {"text": "【静止系MAD教程】一个分镜制作思路", "url": "https://www.bilibili.com/video/BV1dW4y1m7pN/"}
JSON: {"text": "【我心危/MAD】“我与我的恋心”『𝒯𝒽𝑒 𝒟𝒶𝓃𝑔𝑒𝓇𝓈 𝐼𝓃 𝑀𝓎 𝐻𝑒𝒶𝓇𝓉』", "url": "https://www.bilibili.com/video/BV1LJ4m1j71x/"}
JSON: {"text": "【防风铃】⚠️全 员 暴 力[AMV/MAD]𝗨𝗻𝗱𝗲𝗿 𝗧𝗵𝗲 𝗣𝗿𝗲𝘀𝘀𝘂𝗿𝗲", "url": "https://www.bilibili.com/video/BV1R4421Q7j2/"}
JSON: {"text": "【鬼灭/全程踩点/燃】这一击赌上现在的我，献出我的一切！", "url": "https://www.bilibili.com/video/BV1s441167Yp/"}
JSON: {"text": "【全平成/高燃/MAD】一个时代的结束，是下一个时代的开始", "url": "https://www.bilibili.com/video/BV1jQ4y1Q7A2/"}
JSON: {"text": "✨带上耳机，5秒即沦陷  冷门宝藏《Better Apart》必将惊艳你的视听", "url": "https://www.bilibili.com/video/BV1Vr4y1a7og/"}
JSON: {"text": "𝘾𝙖𝙡𝙡 𝙊𝙛 𝙎𝙞𝙡𝙚𝙣𝙘𝙚/未烬的残阳与燃烧的心灵", "url": "https://www.bilibili.com/video/BV1ru4y1f7kc/"}
JSON: {"text": "【GBC/草东/Girls Band Cry纪念MAD】《缸》里有梦想，缸里有烂账", "url": "https://www.bilibili.com/video/BV1Ky411q75w/"}
JSON: {"text": "火爆全网《Tik Tok》，鬼知道我抖了几遍", "url": "https://www.bilibili.com/video/BV11A411Y7sX/"}
JSON: {"text": "「 电 锯 人 暴 力 美 学 」", "url": "https://www.bilibili.com/video/BV1uM41117pH/"}
JSON: {"text": "【Re：从零开始的异世界生活/MAD】试炼与成长——我是只属于你的骑士！！！", "url": "https://www.bilibili.com/video/BV1up4y18723/"}
JSON: {"text": "【4k/60帧/FSF】金闪闪VS恩奇都，火力全开！宝具激情对轰！伪圣杯战争真神仙打架！", "url": "https://www.bilibili.com/video/BV1B14y1d7Pz/"}
JSON: {"text": "“ 此 刻 ， 是 英 雄 的 绝 唱 ”", "url": "https://www.bilibili.com/video/BV1nmsWexEfA/"}
JSON: {"text": "洗脑神曲《Touch》，鬼知道我看了几遍！！", "url": "https://www.bilibili.com/video/BV18U4y1w7CX/"}
JSON: {"text": "【𝗘𝗩𝗔/𝟲𝟬帧】𝘿𝙞𝙚 𝙁𝙤𝙧 𝙔𝙤𝙪-警告⚠️初号机即将暴走！", "url": "https://www.bilibili.com/video/BV1Wr2NYVEu8/"}
JSON: {"text": "一夜爆火的这首《迷失幻境》，如今治愈了多少人？！", "url": "https://www.bilibili.com/video/BV1Qa4y1J7Dz/"}
JSON: {"text": "一首【好想爱这个世界啊】用二次元拯救三次元带来的伤害", "url": "https://www.bilibili.com/video/BV1vd4y127Vh/"}
JSON: {"text": "【燃向/负能量向】我，讨厌这个世界", "url": "https://www.bilibili.com/video/BV1xs411d7qY/"}
JSON: {"text": "“做自己的光不需要太亮”", "url": "https://www.bilibili.com/video/BV15Z421p7te/"}
JSON: {"text": "火爆全网《Tik Tok》，鬼知道我抖了几遍", "url": "https://www.bilibili.com/video/BV11A411Y7sX/"}
JSON: {"text": "🅴🅳🅰🅼🅰🅼🅴", "url": "https://www.bilibili.com/video/BV1Yw411v79M/"}
JSON: {"text": "⚠️前方高能，六年前的b站全是这种视频！", "url": "https://www.bilibili.com/video/BV1F6tPegEbj/"}
JSON: {"text": "【燃向/负能量向】我，讨厌这个世界", "url": "https://www.bilibili.com/video/BV1xs411d7qY/"}
JSON: {"text": "“做自己的光不需要太亮”", "url": "https://www.bilibili.com/video/BV15Z421p7te/"}
JSON: {"text": "【魔法少女小圆】魔女之旅", "url": "https://www.bilibili.com/video/BV1Lm4y1Y7cu/"}
JSON: {"text": "【静止系MAD/波风水门】赌上火影的名号，来一场全力以赴的战斗！", "url": "https://www.bilibili.com/video/BV1ic411275K/"}
JSON: {"text": "伊蕾娜 𝐂𝐚𝐧'𝐭 𝐛𝐞 𝐭𝐨𝐠𝐞𝐭𝐡𝐞𝐫?", "url": "https://www.bilibili.com/video/BV11S4y187pk/"}
JSON: {"text": "💙“ 𝑺𝒐 𝑲𝒆𝒆𝒑 𝒀𝒐𝒖𝒓 𝑬𝒚𝒆𝒔 𝑶𝒏 𝑲𝒊𝒅 𝑵𝒐𝒘. ”💙", "url": "https://www.bilibili.com/video/BV1ue4y1B7Zv/"}
JSON: {"text": "【𝟒𝐊𝟔𝟎𝐅𝐏𝐒】两种时间线的最终战！青春终结！终末之谷！无限月读父母双全结局之战！剪掉多余对话 鸣人VS佐助！六道对决！终结谷最后一战！", "url": "https://www.bilibili.com/video/BV1UF4m1P7X2/"}
JSON: {"text": "“𝙎𝙝𝙖𝙙𝙤𝙬 𝙊𝙛 𝙏𝙝𝙚 𝙎𝙪𝙣 希望你能为我哭泣”", "url": "https://www.bilibili.com/video/BV12K411X7Hs/"}
JSON: {"text": "【高燃预警】你老婆打架可真帅！世界都惊呆了", "url": "https://www.bilibili.com/video/BV19J411t7Xf/"}
JSON: {"text": "【多素材/燃向】我，将会成为被诉说的传奇", "url": "https://www.bilibili.com/video/BV1Ys41127wb/"}
JSON: {"text": "“唯美神曲《𝓛𝓾𝓿 𝓜𝓮 𝓐 𝓛𝓲𝓽𝓽𝓵𝓮》，感受这场视觉盛宴！”", "url": "https://www.bilibili.com/video/BV1yY41167za/"}
JSON: {"text": "洗脑神曲《Deep Blue》，无法超越的绝美画面！！", "url": "https://www.bilibili.com/video/BV1sP4y1R7wV/"}
JSON: {"text": "【Fate剧情向】阿尔托莉雅的救赎：Saber-梦的尽头「LAST STARDUST」", "url": "https://www.bilibili.com/video/BV1Cx41157Ms/"}
JSON: {"text": "“成熟一点吧，少年”", "url": "https://www.bilibili.com/video/BV1gT4y1Y75E/"}
JSON: {"text": ""看好了，这才叫咒术回战" 𝐉𝐮𝐣𝐮𝐭𝐬𝐮 𝐤𝐚𝐢𝐬𝐞𝐧", "url": "https://www.bilibili.com/video/BV1Mu4y1N7bM/"}
JSON: {"text": "前方高能！一秒燃爆！全世界都为之颤抖！", "url": "https://www.bilibili.com/video/BV1g4411Y7e9/"}
JSON: {"text": "开始拔刀，请坐稳扶好！！！第 24 秒后让你白嫖失败，全程畅享极致快感！！", "url": "https://www.bilibili.com/video/BV1a7411G7w1/"}
JSON: {"text": "《MOM》窗外有千纸鹤/动漫卡点/母爱/爱情/梦汐 MXA 第四届MAD比赛－单人作品", "url": "https://www.bilibili.com/video/BV18b4y1x7hs/"}
JSON: {"text": "【MAD/燃向】所谓的燃，就是战歌响起的瞬间，震撼心灵的感觉", "url": "https://www.bilibili.com/video/BV1Vt411Z7aA/"}
JSON: {"text": "“神并不需要变强的理由，因为祂生来就是最强”", "url": "https://www.bilibili.com/video/BV1pH4y1Y7Pp/"}
JSON: {"text": "【迪达拉/阿飞/MAD】迪达拉：你好像我认识的一个人，但是你没有他爱笑......", "url": "https://www.bilibili.com/video/BV1i34y1Q7u3/"}
JSON: {"text": "挑战B站最强踩点！108部动画超燃混剪！！！", "url": "https://www.bilibili.com/video/BV1nV411a7jr/"}
JSON: {"text": "【4k超清】洗脑魔曲，领域展开，坐杀博徒！", "url": "https://www.bilibili.com/video/BV1tt42187f1/"}
JSON: {"text": "爱过！卑微过！这首《BINGBIAN病变 》直击灵魂！！", "url": "https://www.bilibili.com/video/BV1mG41177fY/"}
JSON: {"text": "【崩坏𝟑/𝑴𝒂𝒅】𝟕年青春！致所有舰长！这是属于崩坏𝟑的永世摇篮！崩坏3七周年纪念mad！", "url": "https://www.bilibili.com/video/BV1ew411c7wo/"}
JSON: {"text": "[假面骑士/MAD/高燃]即使世间万物溶于海色 我也会与你同行", "url": "https://www.bilibili.com/video/BV1dE42157rw/"}
JSON: {"text": ""属于二次元的浪漫！"", "url": "https://www.bilibili.com/video/BV1YH4y1c795/"}
JSON: {"text": "“请问，你有多久没有喜欢上一个女孩子了？”", "url": "https://www.bilibili.com/video/BV15YbwecEoF/"}
JSON: {"text": "“💗挑 战 B 站 画 质 上 限💗”", "url": "https://www.bilibili.com/video/BV1uu4y1s7TB/"}
JSON: {"text": "⚠️前方高能！把音乐释放到极致！来感受一下他们的顶级打戏！", "url": "https://www.bilibili.com/video/BV1xr4y117QE/"}
JSON: {"text": "【完结纪念MAD】只剩扭曲的灵魂，与疯狂的意志", "url": "https://www.bilibili.com/video/BV19x411N7Zj/"}
JSON: {"text": "【静止系mad/再见绘梨】天堂电影院", "url": "https://www.bilibili.com/video/BV11T411J7nu/"}
JSON: {"text": "𝘾𝙖𝙡𝙡 𝙊𝙛 𝙎𝙞𝙡𝙚𝙣𝙘𝙚-“他始终没有缝合自己的人生”", "url": "https://www.bilibili.com/video/BV1fF411d7dG/"}
JSON: {"text": "“如朝霞般绚烂，如晚霞般短暂”【无一郎/ 𝗖𝗮𝗹𝗹 𝗼𝗳 𝗦𝗶𝗹𝗲𝗻𝗰𝗲】", "url": "https://www.bilibili.com/video/BV1cc41137LH/"}
JSON: {"text": "洗脑神曲《Deep Blue》，无法超越的绝美画面！！", "url": "https://www.bilibili.com/video/BV1sP4y1R7wV/"}
JSON: {"text": "【高燃预警】你老婆打架可真帅！世界都惊呆了", "url": "https://www.bilibili.com/video/BV19J411t7Xf/"}
JSON: {"text": "【𝟒𝐊𝟔𝟎𝐅𝐏𝐒】两种时间线的最终战！青春终结！终末之谷！无限月读父母双全结局之战！剪掉多余对话 鸣人VS佐助！六道对决！终结谷最后一战！", "url": "https://www.bilibili.com/video/BV1UF4m1P7X2/"}
JSON: {"text": "这首歌！治愈了“怪      物"的我们！！—ℳ₯㎕_Monsters", "url": "https://www.bilibili.com/video/BV1BZ4y1s74b/"}
JSON: {"text": "【多素材/燃向】我，将会成为被诉说的传奇", "url": "https://www.bilibili.com/video/BV1Ys41127wb/"}
JSON: {"text": "治愈神曲《For You》，鬼知道我听了几遍！！！", "url": "https://www.bilibili.com/video/BV1XF411F7Fw/"}
JSON: {"text": "【Fate剧情向】阿尔托莉雅的救赎：Saber-梦的尽头「LAST STARDUST」", "url": "https://www.bilibili.com/video/BV1Cx41157Ms/"}
JSON: {"text": "“𝙎𝙝𝙖𝙙𝙤𝙬 𝙊𝙛 𝙏𝙝𝙚 𝙎𝙪𝙣 希望你能为我哭泣”", "url": "https://www.bilibili.com/video/BV12K411X7Hs/"}
JSON: {"text": "“唯美神曲《𝓛𝓾𝓿 𝓜𝓮 𝓐 𝓛𝓲𝓽𝓽𝓵𝓮》，感受这场视觉盛宴！”", "url": "https://www.bilibili.com/video/BV1yY41167za/"}
JSON: {"text": ""看好了，这才叫咒术回战" 𝐉𝐮𝐣𝐮𝐭𝐬𝐮 𝐤𝐚𝐢𝐬𝐞𝐧", "url": "https://www.bilibili.com/video/BV1Mu4y1N7bM/"}
JSON: {"text": "前方高能！一秒燃爆！全世界都为之颤抖！", "url": "https://www.bilibili.com/video/BV1g4411Y7e9/"}
JSON: {"text": "《MOM》窗外有千纸鹤/动漫卡点/母爱/爱情/梦汐 MXA 第四届MAD比赛－单人作品", "url": "https://www.bilibili.com/video/BV18b4y1x7hs/"}
JSON: {"text": "“💗挑 战 B 站 画 质 上 限💗”", "url": "https://www.bilibili.com/video/BV1uu4y1s7TB/"}
JSON: {"text": "挑战B站最强踩点！108部动画超燃混剪！！！", "url": "https://www.bilibili.com/video/BV1nV411a7jr/"}
JSON: {"text": "【迪达拉/阿飞/MAD】迪达拉：你好像我认识的一个人，但是你没有他爱笑......", "url": "https://www.bilibili.com/video/BV1i34y1Q7u3/"}
JSON: {"text": "【4k超清】洗脑魔曲，领域展开，坐杀博徒！", "url": "https://www.bilibili.com/video/BV1tt42187f1/"}
JSON: {"text": "爱过！卑微过！这首《BINGBIAN病变 》直击灵魂！！", "url": "https://www.bilibili.com/video/BV1mG41177fY/"}
JSON: {"text": "【崩坏𝟑/𝑴𝒂𝒅】𝟕年青春！致所有舰长！这是属于崩坏𝟑的永世摇篮！崩坏3七周年纪念mad！", "url": "https://www.bilibili.com/video/BV1ew411c7wo/"}
JSON: {"text": "[MAD][致十年后的我][Letter Song][№绯红の天空]", "url": "https://www.bilibili.com/video/BV1Nx411w7sE/"}
JSON: {"text": "[假面骑士/MAD/高燃]即使世间万物溶于海色 我也会与你同行", "url": "https://www.bilibili.com/video/BV1dE42157rw/"}
JSON: {"text": "“请问，你有多久没有喜欢上一个女孩子了？”", "url": "https://www.bilibili.com/video/BV15YbwecEoF/"}
JSON: {"text": "【完结纪念MAD】只剩扭曲的灵魂，与疯狂的意志", "url": "https://www.bilibili.com/video/BV19x411N7Zj/"}
JSON: {"text": "耗时2分钟！！宇智波斑爆燃混剪|原来这才是神的力量！", "url": "https://www.bilibili.com/video/BV1Gb421z7Q9/"}
JSON: {"text": "［4K 60帧］戴上耳机，在4K巅峰画质中感受二次元的静谧与唯美！", "url": "https://www.bilibili.com/video/BV1RV411C77w/"}
JSON: {"text": "曾火遍全网的《Complicated》，你是否还知道？", "url": "https://www.bilibili.com/video/BV1BJ411E7Yc/"}
JSON: {"text": "“可惜爱不是三言两语，我也不再是十六七岁...”", "url": "https://www.bilibili.com/video/BV1T9xJefEmK/"}
JSON: {"text": "⚠️前方高能！把音乐释放到极致！来感受一下他们的顶级打戏！", "url": "https://www.bilibili.com/video/BV1xr4y117QE/"}
JSON: {"text": "“少年，你有赴死变身的勇气吗”", "url": "https://www.bilibili.com/video/BV1Mx4y1D7hW/"}
JSON: {"text": "【赛马娘/单集MAD】不屈的英雄", "url": "https://www.bilibili.com/video/BV1M5411w7Bv/"}
JSON: {"text": "𝘾𝙖𝙡𝙡 𝙊𝙛 𝙎𝙞𝙡𝙚𝙣𝙘𝙚-“他始终没有缝合自己的人生”", "url": "https://www.bilibili.com/video/BV1fF411d7dG/"}
JSON: {"text": "“如朝霞般绚烂，如晚霞般短暂”【无一郎/ 𝗖𝗮𝗹𝗹 𝗼𝗳 𝗦𝗶𝗹𝗲𝗻𝗰𝗲】", "url": "https://www.bilibili.com/video/BV1cc41137LH/"}
JSON: {"text": "【赛马娘MAD/东海帝皇个人向】让生命摇曳", "url": "https://www.bilibili.com/video/BV1nh411D7y8/"}
JSON: {"text": "空 条 承 太 郎", "url": "https://www.bilibili.com/video/BV1t5411W7RP/"}
JSON: {"text": "前方高能！来自历代火影の视觉盛宴！", "url": "https://www.bilibili.com/video/BV1oJ411U7Wx/"}
JSON: {"text": "【欧布高燃MAD】⚠️夺走你的硬币只需要前奏⚠️", "url": "https://www.bilibili.com/video/BV1ss4y1Y7YB/"}
JSON: {"text": "警告⚠️：别眨眼，前方爆燃！带你感受火影的高能名场面！！！", "url": "https://www.bilibili.com/video/BV16K4y1B78Y/"}
JSON: {"text": "【VIVINOS】原创剧情🌠 Alien Stage｜Round7 Blink Gone", "url": "https://www.bilibili.com/video/BV1wPySY8E6i/"}
JSON: {"text": "2021 热歌榜第一《清空》一秒沉沦，直击灵魂！！", "url": "https://www.bilibili.com/video/BV1o54y1Y7oP/"}
JSON: {"text": "曾经火遍全网的《Umbrella》,带你燃爆全场！", "url": "https://www.bilibili.com/video/BV1F7411x7sH/"}
JSON: {"text": "“可惜我相貌平平，惊艳不了你的青春....”", "url": "https://www.bilibili.com/video/BV1GN41147fC/"}
JSON: {"text": "⚡ 别 逼 我 平 A 奥 ⚡", "url": "https://www.bilibili.com/video/BV1hS4y1Z7H3/"}
JSON: {"text": "耗时66小时，只为这144秒夺走你的币！【刺客伍六七|高燃踩点】", "url": "https://www.bilibili.com/video/BV1Tx4y1P7ea/"}
JSON: {"text": "这TM才叫拔刀! 极致踩点! ! !", "url": "https://www.bilibili.com/video/BV1B7411M7X5/"}
JSON: {"text": "你在剪一种很老的东西。。。", "url": "https://www.bilibili.com/video/BV1qt4y1w7Lj/"}
JSON: {"text": "𝙄 𝘾𝘼𝙉'𝙏", "url": "https://www.bilibili.com/video/BV15P411h7NB/"}
JSON: {"text": "⚡我超！洗脑神曲《Lone Ranger》鬼知道我看了多少遍！⚡", "url": "https://www.bilibili.com/video/BV1ub4y1s79E/"}
JSON: {"text": "星月送来神的女儿，她愿与人类为伴「爱莉希雅×逐火十三英桀」因你而在的故事纪念作MAD", "url": "https://www.bilibili.com/video/BV1ZT4y1s7Zd/"}
JSON: {"text": "【古立特/MAD】完结纪念！梦的英雄！——SSSS.GRIDMAN！", "url": "https://www.bilibili.com/video/BV1qt411k7Pi/"}
JSON: {"text": "三十年前的老动画至今秒杀一片", "url": "https://www.bilibili.com/video/BV1Le411i7tZ/"}
JSON: {"text": "“谨以此视频献给热爱动漫的你”", "url": "https://www.bilibili.com/video/BV1Fypue5EDw/"}
JSON: {"text": "上世纪超合体巅峰MAD", "url": "https://www.bilibili.com/video/BV1MX4y117jG/"}
JSON: {"text": "Happy END【Re0/MAD/踩点/高燃】", "url": "https://www.bilibili.com/video/BV18J41177yL/"}
JSON: {"text": "【140部动漫混剪/MAD/AMV/踩点/燃】我们于此刻最美", "url": "https://www.bilibili.com/video/BV1Fb411Y7z7/"}
JSON: {"text": "安室透|E.T.|高帅踩点|我的恋人是这个国家！", "url": "https://www.bilibili.com/video/BV1eJ411z72S/"}
JSON: {"text": "【柯南MAD丨卧底丨警校五人组】“我们的功绩终将不为人知”", "url": "https://www.bilibili.com/video/BV1RU4y1R7jt/"}
JSON: {"text": "【武神凤凰/MAD】编织出希望的时代", "url": "https://www.bilibili.com/video/BV15K4y1i7qs/"}
JSON: {"text": "【可塑性记忆】“唯有这份挚爱，不会随时间的流逝而淡去。”", "url": "https://www.bilibili.com/video/BV1D14y1o7Su/"}
JSON: {"text": "【静止画MAD】My Time【晚安布布】", "url": "https://www.bilibili.com/video/BV1Gv421177G/"}
JSON: {"text": "𝘾𝙖𝙡𝙡 𝙤𝙛 𝙨𝙞𝙡𝙚𝙣𝙘𝙚/"无论多少次我们都会相遇，darling！”", "url": "https://www.bilibili.com/video/BV1fQ4y1s7uj/"}
JSON: {"text": "Misfit Lunatic 「燃·MAD·黑色四叶草」  就是现在在这里超越极限 ！ ！ ！", "url": "https://www.bilibili.com/video/BV1q64y1i7Tp/"}
JSON: {"text": "凡人之躯 比肩英灵！五分钟带你感受士郎的封神之战！【Fate系列HF线/终章完结纪念】", "url": "https://www.bilibili.com/video/BV1NB4y1c7VY/"}
JSON: {"text": "屑女人", "url": "https://www.bilibili.com/video/BV1ZV4y147HJ/"}
JSON: {"text": "火爆全网的《错位时空》，你可曾被感动过？", "url": "https://www.bilibili.com/video/BV1pi4y1o7iJ/"}
JSON: {"text": "一夜爆火的这首《落差》，如今治愈了多少人？！", "url": "https://www.bilibili.com/video/BV1bA411N7cB/"}
JSON: {"text": "【泛式/剧情MAD】那些你很冒险的梦，我曾想陪你疯「SK8」", "url": "https://www.bilibili.com/video/BV1eb4y197ia/"}
JSON: {"text": "“过  度  呼  吸”", "url": "https://www.bilibili.com/video/BV1Nu4JeXELZ/"}
JSON: {"text": "【你的名字/蓝光画质1080P/前前前世】AE渲染超爆炸燃向MAD·AMV", "url": "https://www.bilibili.com/video/BV1Nx411x73X/"}
JSON: {"text": "【Re:CREATORS】主题曲（sh0ut）全场燃爆，军姬姐姐贼强", "url": "https://www.bilibili.com/video/BV1At411V7YG/"}
JSON: {"text": "前方高能！一秒燃爆！全世界都为之颤抖！", "url": "https://www.bilibili.com/video/BV1g4411Y7e9/"}
JSON: {"text": "“这6秒的重逢，我们等了快13年....”【8月30日定档上映/通往夏天的隧道，再见的出口 | 剧情向Mad】", "url": "https://www.bilibili.com/video/BV1MeHNerE7J/"}
JSON: {"text": "“persona”", "url": "https://www.bilibili.com/video/BV11Y2ZYbEAL/"}
JSON: {"text": ""野狗不需要墓碑"", "url": "https://www.bilibili.com/video/BV1cU4weAEjU/"}
JSON: {"text": "【柯哀】米花町爱情故事（谜·MAD）", "url": "https://www.bilibili.com/video/BV1pu4m1K7xt/"}
JSON: {"text": "【崩坏3毕业MAD】 这次就由你来为这个故事画上句号（6年纪念视频）", "url": "https://www.bilibili.com/video/BV1GX4y1x75K/"}
JSON: {"text": "既然要舞，那就舞的尽兴！【MAD/地狱之歌/最后大队】", "url": "https://www.bilibili.com/video/BV1MM4y1W7ov/"}
JSON: {"text": "好怪….再看一遍！【魔性剪辑#05】", "url": "https://www.bilibili.com/video/BV1pL411t7Qn/"}
JSON: {"text": "【可塑性记忆】“唯有这份挚爱，不会随时间的流逝而淡去。”", "url": "https://www.bilibili.com/video/BV1D14y1o7Su/"}
JSON: {"text": "一人成军，突破作画华丽极限——原画师阿部望作画MAD", "url": "https://www.bilibili.com/video/BV12E41197Qk/"}
JSON: {"text": "【静止画MAD】My Time【晚安布布】", "url": "https://www.bilibili.com/video/BV1Gv421177G/"}
JSON: {"text": "【地狱之歌/安德森/AMV】人流干了眼泪就会成为恶魔，所以那么就笑吧！", "url": "https://www.bilibili.com/video/BV1Ux411X7mJ/"}
JSON: {"text": "我将用𝟏𝟐𝟓秒让你感受到来自宇智波斑的压迫感！！！", "url": "https://www.bilibili.com/video/BV1rn4y1d7i9/"}
JSON: {"text": "安室透|E.T.|高帅踩点|我的恋人是这个国家！", "url": "https://www.bilibili.com/video/BV1eJ411z72S/"}
JSON: {"text": "一首【好想爱这个世界啊】用二次元拯救三次元带来的伤害", "url": "https://www.bilibili.com/video/BV1vd4y127Vh/"}
JSON: {"text": "紫罗兰永恒花园 OP 完整版MAD   Sincerely  ／ TRUE　中日英三语字幕", "url": "https://www.bilibili.com/video/BV1Qt411e7KB/"}
JSON: {"text": "【静止画MAD/芙莉莲】请不要离开我的回忆", "url": "https://www.bilibili.com/video/BV12e411d7jk/"}
JSON: {"text": "火爆全网的《错位时空》，你可曾被感动过？", "url": "https://www.bilibili.com/video/BV1pi4y1o7iJ/"}
JSON: {"text": "【高达全系列/名台词/MAD】摇篮永存于那里！", "url": "https://www.bilibili.com/video/BV1Vb4y1Q7c8/"}
JSON: {"text": "屑女人", "url": "https://www.bilibili.com/video/BV1ZV4y147HJ/"}
JSON: {"text": "再见了，运动男孩！直到世界的尽头！灌篮高手电影纪念 MAD 动画混剪", "url": "https://www.bilibili.com/video/BV13s4y1E7vg/"}
JSON: {"text": "【静止画MAD】No pain, No game【蓝色监狱】", "url": "https://www.bilibili.com/video/BV1jv4y1p7UZ/"}
JSON: {"text": "【MAD/米浴/帝王】漆黑的英雄 & 不屈的帝王", "url": "https://www.bilibili.com/video/BV1d14y1y7m8/"}
JSON: {"text": "Misfit Lunatic 「燃·MAD·黑色四叶草」  就是现在在这里超越极限 ！ ！ ！", "url": "https://www.bilibili.com/video/BV1q64y1i7Tp/"}
JSON: {"text": "𝑽𝑶𝑶𝑫𝑶𝑶 𝑲𝑰𝑵𝑮𝑫𝑶𝑴——这就是『真实』!", "url": "https://www.bilibili.com/video/BV1Kg4y1v7Q9/"}
JSON: {"text": "一夜爆火的这首《落差》，如今治愈了多少人？！", "url": "https://www.bilibili.com/video/BV1bA411N7cB/"}
JSON: {"text": "【140部动漫混剪/MAD/AMV/踩点/燃】我们于此刻最美", "url": "https://www.bilibili.com/video/BV1Fb411Y7z7/"}
JSON: {"text": "治愈神曲《For You》，鬼知道我听了几遍！！！", "url": "https://www.bilibili.com/video/BV1XF411F7Fw/"}
JSON: {"text": "「梦比优斯奥特曼」 无限的回忆、梦想、羁绊 MAD", "url": "https://www.bilibili.com/video/BV1SJ41157fx/"}
JSON: {"text": "“这6秒的重逢，我们等了快13年....”【8月30日定档上映/通往夏天的隧道，再见的出口 | 剧情向Mad】", "url": "https://www.bilibili.com/video/BV1MeHNerE7J/"}
JSON: {"text": "前方高能！来自历代火影の视觉盛宴！", "url": "https://www.bilibili.com/video/BV1oJ411U7Wx/"}
JSON: {"text": "【雷欧高燃/MAD】狮子的金色眼眸光芒在闪耀 ！尽情的燃烧，狮王雷欧！", "url": "https://www.bilibili.com/video/BV1744y1F71q/"}
JSON: {"text": "“直到最后，死亡将我们分开。”", "url": "https://www.bilibili.com/video/BV1aP4y1C7Ui/"}
JSON: {"text": "𝘾𝙖𝙡𝙡 𝙊𝙛 𝙎𝙞𝙡𝙚𝙣𝙘𝙚/那是无数次踏入死境之人的眼神", "url": "https://www.bilibili.com/video/BV1ZG4y1Q7qJ/"}
JSON: {"text": "【ASMV/泪燃】绝望的镇魂曲（完整版）", "url": "https://www.bilibili.com/video/BV1Rs411Q7UW/"}
JSON: {"text": "【崩坏3毕业MAD】 这次就由你来为这个故事画上句号（6年纪念视频）", "url": "https://www.bilibili.com/video/BV1GX4y1x75K/"}
JSON: {"text": "那些无法超越的台词与画面！", "url": "https://www.bilibili.com/video/BV1y34y1s7x7/"}
JSON: {"text": "MAD【一人之下/蓄势/燃剪】全员神经病", "url": "https://www.bilibili.com/video/BV1nb4y1g7Ux/"}
JSON: {"text": "最终鬼畜二小姐.芙兰朵露", "url": "https://www.bilibili.com/video/BV1xx411c7mM/"}
