JSON: {"text": "【北京清华大学】普通生物学", "url": "https://www.bilibili.com/video/BV1ns411B7g8/"}
JSON: {"text": "为何大自然中蓝色动物很稀少? | 天天观世界(探秘,生物学,未解之谜,物理学,科普,蓝色蝴蝶,色素,颜色,知识)", "url": "https://www.bilibili.com/video/BV1Kx4y1Z7LR/"}
JSON: {"text": "八年级下册生物学 第19期 基因的显性和隐性", "url": "https://www.bilibili.com/video/BV15L411N7TX/"}
JSON: {"text": "【MIT麻省理工学院】分子生物学第一部分：DNA复制与修复", "url": "https://www.bilibili.com/video/BV1Lx411H71y/"}
JSON: {"text": "教资学科知识科目三高中生物", "url": "https://www.bilibili.com/video/BV1sf4y1b7Eu/"}
JSON: {"text": "女生为什么学生物后不身材焦虑了", "url": "https://www.bilibili.com/video/BV1zZ421U7en/"}
JSON: {"text": "【龙女生物学】人类欠我半条命 昆虫给我交房租", "url": "https://www.bilibili.com/video/BV1tL411g7n7/"}
JSON: {"text": "（已完结课程）《生物化学与分子生物学》张宏等", "url": "https://www.bilibili.com/video/BV1Z341167yt/"}
JSON: {"text": "医学微生物学——西安交通大学（国家精品课程）", "url": "https://www.bilibili.com/video/BV1Jv411N7oB/"}
JSON: {"text": "细胞生物学创意视频——《一个细胞的癌变之路》", "url": "https://www.bilibili.com/video/BV1Tu411S729/"}
JSON: {"text": "【泰拉生物学】带你深度了解泰拉种族——恶魔", "url": "https://www.bilibili.com/video/BV1ov4y197je/"}
JSON: {"text": "七年级生物学实验——观察种子的结构", "url": "https://www.bilibili.com/video/BV1sU4y1T7Zw/"}
JSON: {"text": "【500集全集】生物医学3D动画第三期-第81至140集-科普-英语听力口语单词", "url": "https://www.bilibili.com/video/BV1oD4y1z74t/"}
JSON: {"text": "细胞生物学创意视频——《一个细胞的癌变之路》", "url": "https://www.bilibili.com/video/BV1Tu411S729/"}
JSON: {"text": "【推荐课程】北京大学生物信息学:学习方法(完整带课件）", "url": "https://www.bilibili.com/video/BV13t411G7oh/"}
JSON: {"text": "用生物学来看奥特曼？鉴定下泰罗奥特曼里的怪兽原型！", "url": "https://www.bilibili.com/video/BV12y421q7J7/"}
JSON: {"text": "【瞻云】器官演化系列：你的嘴为啥5亿年都是上下开口，而不是左右开合？", "url": "https://www.bilibili.com/video/BV1um411R73D/"}
JSON: {"text": "【国家精品课程】四川大学 细胞生物学 （教材：翟中和《细胞生物学》）", "url": "https://www.bilibili.com/video/BV1qb411G7x1/"}
JSON: {"text": "新冠来袭，看免疫系统如何应战", "url": "https://www.bilibili.com/video/BV1GU4y1P7Pv/"}
JSON: {"text": "已完结！！！求臻25普通生物学-陈阅增普通生物学考研-高分笔记精讲课-全部免费更新！", "url": "https://www.bilibili.com/video/BV1Ky421q71t/"}
JSON: {"text": "“改兽狂魔”用一生改造一种动物，温暖的故事～", "url": "https://www.bilibili.com/video/BV1W14y1m7eP/"}
JSON: {"text": "【网络热门神秘生物3】CCTV-10的童年阴影！？传说中的吸血怪物真的存在吗？", "url": "https://www.bilibili.com/video/BV1Nq4y1B7Fq/"}
JSON: {"text": "20分钟搞定蛋白质计算!  | 题型总结【高中生物必修1】", "url": "https://www.bilibili.com/video/BV1i14y1h7oh/"}
JSON: {"text": "听到670的张雪峰：卧槽！听到想学生物的张雪峰：呵呵！", "url": "https://www.bilibili.com/video/BV1dL411m775/"}
JSON: {"text": "新型冠状病毒有多狡猾？谁能活到最后？【思维实验室】27期 武汉加油!", "url": "https://www.bilibili.com/video/BV1K7411x7rW/"}
JSON: {"text": "20分钟搞定蛋白质计算!  | 题型总结【高中生物必修1】", "url": "https://www.bilibili.com/video/BV1i14y1h7oh/"}
JSON: {"text": "医学细胞生物学-湖北科技学院", "url": "https://www.bilibili.com/video/BV1Jb411y7by/"}
JSON: {"text": "听到670的张雪峰：卧槽！听到想学生物的张雪峰：呵呵！", "url": "https://www.bilibili.com/video/BV1dL411m775/"}
JSON: {"text": "【2024重录】高中生物选修2合集 生物与环境 正课习题新教材选修二人教版新课标生物学选择性必修2新高考网课生态学种群落生态系统能量流动生态工程", "url": "https://www.bilibili.com/video/BV1FL4y1q7ey/"}
JSON: {"text": "高中生物选择性必修三《生物技术与工程》系列视频课", "url": "https://www.bilibili.com/video/BV1KG411w7MY/"}
JSON: {"text": "初中生物学中考实验操作演示 - 观察洋葱鳞片叶内表皮细胞", "url": "https://www.bilibili.com/video/BV1mB4y127mo/"}
JSON: {"text": "【生命熄灭那一刻寂静又凄美】四分钟人体内旅行，从生到死。", "url": "https://www.bilibili.com/video/BV17J411X7fm/"}
JSON: {"text": "生物化学与分子生物学（更新完）", "url": "https://www.bilibili.com/video/BV1nz411v7qN/"}
JSON: {"text": "实验题重灾区——酶，它来啦！ | 知识【高中生物必修1】", "url": "https://www.bilibili.com/video/BV1n841187NN/"}
JSON: {"text": "我发现可以用生物学知识证明哥德巴赫猜想", "url": "https://www.bilibili.com/video/BV1XM4y1A7t3/"}
JSON: {"text": "初一生物七年级生物上册+下册 人教版 2020新版 部编版 统编版 下册生物7年级生物初一生物初1生物学 七年级上册生物七年级下册", "url": "https://www.bilibili.com/video/BV1q7411C7S7/"}
JSON: {"text": "初中生物八年级全册人教版生物八年级全册生物", "url": "https://www.bilibili.com/video/BV17V411U7hM/"}
JSON: {"text": "【泰拉生物学】带你深度了解泰拉种族——天使", "url": "https://www.bilibili.com/video/BV15G411T7Di/"}
JSON: {"text": "高二生物 选择性必修3 生物技术与工程 2023新版 人教版 高中生物学 选择性必修三 选修三 选必三 必选3 选修1 生物技术实践 现代生物科技专题 新人教版", "url": "https://www.bilibili.com/video/BV1DY41157b3/"}
JSON: {"text": "【生命熄灭那一刻寂静又凄美】四分钟人体内旅行，从生到死。", "url": "https://www.bilibili.com/video/BV17J411X7fm/"}
JSON: {"text": "实验题重灾区——酶，它来啦！ | 知识【高中生物必修1】", "url": "https://www.bilibili.com/video/BV1n841187NN/"}
JSON: {"text": "学生物和不学生物的都沉默了", "url": "https://www.bilibili.com/video/BV1RS4y1477t/"}
JSON: {"text": "网络热门生物学视频鉴定【鉴定系列04】", "url": "https://www.bilibili.com/video/BV1KL4y1T7Wp/"}
JSON: {"text": "【泰拉生物学】带你深度了解泰拉种族——天使", "url": "https://www.bilibili.com/video/BV15G411T7Di/"}
JSON: {"text": "生化化学与分子生物学-考研生物化学与分子生物学-医学生化第九版-基础", "url": "https://www.bilibili.com/video/BV18F411t7z9/"}
JSON: {"text": "腌酸菜的生物学老师用科学说服不了东北的母亲", "url": "https://www.bilibili.com/video/BV1jT4y1d7iY/"}
JSON: {"text": "网络热门生物学视频鉴定【鉴定系列03】", "url": "https://www.bilibili.com/video/BV1sS4y1873a/"}
JSON: {"text": "【网络热门神秘生物3】CCTV-10的童年阴影！？传说中的吸血怪物真的存在吗？", "url": "https://www.bilibili.com/video/BV1Nq4y1B7Fq/"}
JSON: {"text": "七年级生物学实验——观察种子的结构", "url": "https://www.bilibili.com/video/BV1sU4y1T7Zw/"}
JSON: {"text": "【MIT麻省理工学院】分子生物学第一部分：DNA复制与修复", "url": "https://www.bilibili.com/video/BV1Lx411H71y/"}
JSON: {"text": "医学微生物学——西安交通大学（国家精品课程）", "url": "https://www.bilibili.com/video/BV1Jv411N7oB/"}
JSON: {"text": "【500集全集】生物医学3D动画第三期-第81至140集-科普-英语听力口语单词", "url": "https://www.bilibili.com/video/BV1oD4y1z74t/"}
JSON: {"text": "【全程回顾】2022 诺贝尔生理学或医学奖·奖项解读", "url": "https://www.bilibili.com/video/BV1FN4y1N7um/"}
JSON: {"text": "剑桥A-Level 9700 AS 生物学课程合集", "url": "https://www.bilibili.com/video/BV1RF411A7YX/"}
JSON: {"text": "2021年重庆市高中生物优质课大赛一等奖   遗传与进化部分", "url": "https://www.bilibili.com/video/BV18h411e7f7/"}
JSON: {"text": "你的细胞如何呼吸，不来了解一下么？ | 知识【高中生物必修1】", "url": "https://www.bilibili.com/video/BV12d4y1t7F2/"}
JSON: {"text": "学生物和不学生物的都沉默了", "url": "https://www.bilibili.com/video/BV1RS4y1477t/"}
JSON: {"text": "初中生物八年级全册人教版生物八年级全册生物", "url": "https://www.bilibili.com/video/BV17V411U7hM/"}
JSON: {"text": "生化化学与分子生物学-考研生物化学与分子生物学-医学生化第九版-基础", "url": "https://www.bilibili.com/video/BV18F411t7z9/"}
JSON: {"text": "微生物组学研究-16s测序 从建库到数据分析全流程解析", "url": "https://www.bilibili.com/video/BV1Mi4y1M7vY/"}
JSON: {"text": "腌酸菜的生物学老师用科学说服不了东北的母亲", "url": "https://www.bilibili.com/video/BV1jT4y1d7iY/"}
JSON: {"text": "网络热门生物学视频鉴定【鉴定系列03】", "url": "https://www.bilibili.com/video/BV1sS4y1873a/"}
JSON: {"text": "【网络热门神秘生物3】CCTV-10的童年阴影！？传说中的吸血怪物真的存在吗？", "url": "https://www.bilibili.com/video/BV1Nq4y1B7Fq/"}
JSON: {"text": "医学微生物学——西安交通大学（国家精品课程）", "url": "https://www.bilibili.com/video/BV1Jv411N7oB/"}
JSON: {"text": "七年级生物学实验——观察种子的结构", "url": "https://www.bilibili.com/video/BV1sU4y1T7Zw/"}
JSON: {"text": "【MIT麻省理工学院】分子生物学第一部分：DNA复制与修复", "url": "https://www.bilibili.com/video/BV1Lx411H71y/"}
JSON: {"text": "【全程回顾】2022 诺贝尔生理学或医学奖·奖项解读", "url": "https://www.bilibili.com/video/BV1FN4y1N7um/"}
JSON: {"text": "【500集全集】生物医学3D动画第三期-第81至140集-科普-英语听力口语单词", "url": "https://www.bilibili.com/video/BV1oD4y1z74t/"}
JSON: {"text": "要不是我生物学的好，就被这些营销号忽悠了！", "url": "https://www.bilibili.com/video/BV1S64y1D7B2/"}
JSON: {"text": "2021年重庆市高中生物优质课大赛一等奖   遗传与进化部分", "url": "https://www.bilibili.com/video/BV18h411e7f7/"}
JSON: {"text": "【参考信息第202期】人类生物学；现实世界不存在了？", "url": "https://www.bilibili.com/video/BV1bF4m177Ew/"}
JSON: {"text": "你的细胞如何呼吸，不来了解一下么？ | 知识【高中生物必修1】", "url": "https://www.bilibili.com/video/BV12d4y1t7F2/"}
JSON: {"text": "【2019生物学】基因指导蛋白质的合成-基因的表达（转录+翻译）", "url": "https://www.bilibili.com/video/BV17N411P7fu/"}
JSON: {"text": "水手在大洋中央意外发现这个令人毛骨悚然的巨物，在社媒疯传", "url": "https://www.bilibili.com/video/BV19m411o7ZD/"}
JSON: {"text": "高二生物 选择性必修一 稳态与调节 2023新人教版 部编版统编版高中生物必选一生物2019新教材新课标高二生物上册生物学", "url": "https://www.bilibili.com/video/BV1V54y127jJ/"}
JSON: {"text": "网络热门生物学视频鉴定【鉴定系列06】", "url": "https://www.bilibili.com/video/BV1Hv4y1z7Kx/"}
JSON: {"text": "细胞生物学-考研细胞生物学-翟中和-第四版-第五版-24考研", "url": "https://www.bilibili.com/video/BV1Pu411i7Pd/"}
JSON: {"text": "新型冠状病毒有多狡猾？谁能活到最后？【思维实验室】27期 武汉加油!", "url": "https://www.bilibili.com/video/BV1K7411x7rW/"}
JSON: {"text": "【黄鸭兄】跳出学科，重新认识世界：谈两本生物学书籍", "url": "https://www.bilibili.com/video/BV1Ur4y117LA/"}
JSON: {"text": "从生物学角度分析中年“王心凌男孩”的狂欢", "url": "https://www.bilibili.com/video/BV1394y1m7xL/"}
JSON: {"text": "【必修1教学素材】物质的跨膜运输方式 主动运输被动运输自由扩散易化扩散胞吞胞吐人教版统编教材高中生物学2019新课改新课标", "url": "https://www.bilibili.com/video/BV1Ck4y1q7QS/"}
JSON: {"text": "【黄鸭兄】跳出学科，重新认识世界：谈两本生物学书籍", "url": "https://www.bilibili.com/video/BV1Ur4y117LA/"}
JSON: {"text": "网络热门生物学视频鉴定【鉴定系列08】", "url": "https://www.bilibili.com/video/BV1GG411z7ZS/"}
JSON: {"text": "【蒲慕明的课】神经生物学 (弹幕版) 2020年", "url": "https://www.bilibili.com/video/BV1i7411j7iD/"}
JSON: {"text": "实验题重灾区——酶，它来啦！ | 知识【高中生物必修1】", "url": "https://www.bilibili.com/video/BV1n841187NN/"}
JSON: {"text": "【泰拉生物学】带你深度了解泰拉种族——血魔", "url": "https://www.bilibili.com/video/BV1Td4y1E7V7/"}
JSON: {"text": "Q&A｜27岁读德本？为什么学生物？德国压力大吗？感情经历？怎么学德语？专注力", "url": "https://www.bilibili.com/video/BV1gZ421J7yY/"}
JSON: {"text": "光合作用知识详解 | 知识【高中生物必修1】", "url": "https://www.bilibili.com/video/BV1q44y1m7sW/"}
JSON: {"text": "【2024重录】高中生物选修2合集 生物与环境 正课习题新教材选修二人教版新课标生物学选择性必修2新高考网课生态学种群落生态系统能量流动生态工程", "url": "https://www.bilibili.com/video/BV1FL4y1q7ey/"}
JSON: {"text": "【高中生物课程】人教版高二生物学选择性必修一名师同步课程，高中二年级上册生物选修1名师课堂（附配套PPT课件教学设计下载），2021年最新高二生物选修1视频课程", "url": "https://www.bilibili.com/video/BV1ih411t7ZN/"}
JSON: {"text": "如果把行星按大小重新排列会怎样？其二【太阳系的天体球】", "url": "https://www.bilibili.com/video/BV1D142127Yv/"}
JSON: {"text": "初中生物七年级全册人教版生物七年级全册生物", "url": "https://www.bilibili.com/video/BV1Zt4y1U7Q2/"}
JSON: {"text": "细胞信号通路合集: Wnt, mTOR, MAPK, Hippo, JAK/STAT, RAS, Notch, PI3K, NF-κB, ER, TGFβ...", "url": "https://www.bilibili.com/video/BV1d44y1D7Lf/"}
JSON: {"text": "学生物和不学生物的都沉默了", "url": "https://www.bilibili.com/video/BV1RS4y1477t/"}
JSON: {"text": "【泰拉生物学】带你深度了解泰拉种族——血魔", "url": "https://www.bilibili.com/video/BV1Td4y1E7V7/"}
JSON: {"text": "Q&A｜27岁读德本？为什么学生物？德国压力大吗？感情经历？怎么学德语？专注力", "url": "https://www.bilibili.com/video/BV1gZ421J7yY/"}
JSON: {"text": "性开放的生物学后果（暨南大学张弓教授2019.7.）", "url": "https://www.bilibili.com/video/BV1T44y1e71S/"}
JSON: {"text": "初中生物七年级全册人教版生物七年级全册生物", "url": "https://www.bilibili.com/video/BV1Zt4y1U7Q2/"}
JSON: {"text": "张雪峰：那孩子要学生物，我说这是天坑，她说“不，我非要学”", "url": "https://www.bilibili.com/video/BV1s5411B75S/"}
JSON: {"text": "分子生物学[南京大学·郑伟娟]", "url": "https://www.bilibili.com/video/BV1hk4y1R7To/"}
JSON: {"text": "水豚：情绪稳定，为什么它有“治愈心灵”的魔力？ 四种猜想，一大现象，原来这是一个十分有趣的生物学故事……|自说自话的总裁", "url": "https://www.bilibili.com/video/BV1vp421o73K/"}
JSON: {"text": "【MIT麻省理工学院】分子生物学第二部分：转录和转座（中文字幕）", "url": "https://www.bilibili.com/video/BV1Xx411J7bJ/"}
JSON: {"text": "【龙女生物学】我们地球的垃圾太好吃辣！我长得比航母都大", "url": "https://www.bilibili.com/video/BV1LP4y1a7se/"}
JSON: {"text": "【参考信息第202期】人类生物学；现实世界不存在了？", "url": "https://www.bilibili.com/video/BV1bF4m177Ew/"}
JSON: {"text": "网络热门生物学视频鉴定【鉴定系列04】", "url": "https://www.bilibili.com/video/BV1KL4y1T7Wp/"}
JSON: {"text": "光合作用知识详解 | 知识【高中生物必修1】", "url": "https://www.bilibili.com/video/BV1q44y1m7sW/"}
JSON: {"text": "微生物组学研究-16s测序 从建库到数据分析全流程解析", "url": "https://www.bilibili.com/video/BV1Mi4y1M7vY/"}
JSON: {"text": "【选择性必修3】2.3.1胚胎工程的理论基础 选修3生物技术与工程人教版统编教材高中生物学2020新课改新课标新高考理综", "url": "https://www.bilibili.com/video/BV1yT4y1Y7cT/"}
JSON: {"text": "【龙女生物学】我们地球的垃圾太好吃辣！我长得比航母都大", "url": "https://www.bilibili.com/video/BV1LP4y1a7se/"}
JSON: {"text": "【参考信息第202期】人类生物学；现实世界不存在了？", "url": "https://www.bilibili.com/video/BV1bF4m177Ew/"}
JSON: {"text": "网络热门生物学视频鉴定【鉴定系列04】", "url": "https://www.bilibili.com/video/BV1KL4y1T7Wp/"}
JSON: {"text": "光合作用知识详解 | 知识【高中生物必修1】", "url": "https://www.bilibili.com/video/BV1q44y1m7sW/"}
JSON: {"text": "微生物组学研究-16s测序 从建库到数据分析全流程解析", "url": "https://www.bilibili.com/video/BV1Mi4y1M7vY/"}
JSON: {"text": "【选择性必修3】2.3.1胚胎工程的理论基础 选修3生物技术与工程人教版统编教材高中生物学2020新课改新课标新高考理综", "url": "https://www.bilibili.com/video/BV1yT4y1Y7cT/"}
JSON: {"text": "医学细胞生物学-湖北科技学院", "url": "https://www.bilibili.com/video/BV1Jb411y7by/"}
JSON: {"text": "微生物学 沈萍 第8版 微生物学考研", "url": "https://www.bilibili.com/video/BV1wm4y1q7ts/"}
JSON: {"text": "高二生物 选择性必修3 生物技术与工程 2023新版 人教版 高中生物学 选择性必修三 选修三 选必三 必选3 选修1 生物技术实践 现代生物科技专题 新人教版", "url": "https://www.bilibili.com/video/BV1DY41157b3/"}
JSON: {"text": "生物学博士：21世纪是生命科学的世纪！为什么生物行业就业这么惨？生物行业的潜力在哪里？", "url": "https://www.bilibili.com/video/BV1a7411x7P4/"}
JSON: {"text": "如果把行星按大小重新排列会怎样？其二【太阳系的天体球】", "url": "https://www.bilibili.com/video/BV1D142127Yv/"}
JSON: {"text": "【生物学网课必修1正课】1.1 细胞是生命活动的基本单位分子与细胞新人教版统编教材高中生物学202021新高考新课改新教材", "url": "https://www.bilibili.com/video/BV1Wa4y1v7vi/"}
JSON: {"text": "令人头秃的 质壁分离实验和 渗透装置分析来啦！  | 题型总结【高中生物必修1】", "url": "https://www.bilibili.com/video/BV1xd4y1w71m/"}
JSON: {"text": "初中生物学中考实验操作演示 - 练习使用显微镜", "url": "https://www.bilibili.com/video/BV1uZ4y117Um/"}
JSON: {"text": "【高中生物学必修1】细胞周期和有丝分裂", "url": "https://www.bilibili.com/video/BV1zQ4y1v7jT/"}
JSON: {"text": "【公开课】【中文字幕】感觉神经系统 麻省理工学院 生物学：神经科学 认知科学 本科 Kanwisher教授", "url": "https://www.bilibili.com/video/BV1vb4y1e7L6/"}
JSON: {"text": "同类相食，可耻但有用！", "url": "https://www.bilibili.com/video/BV16P411v75s/"}
JSON: {"text": "令人头秃的 质壁分离实验和 渗透装置分析来啦！  | 题型总结【高中生物必修1】", "url": "https://www.bilibili.com/video/BV1xd4y1w71m/"}
JSON: {"text": "德国生物学博士3块3 在德国大学食堂里能吃啥？", "url": "https://www.bilibili.com/video/BV1f7421K7Kd/"}
JSON: {"text": "【选择性必修3】3.3基因工程的应用 选修3生物技术与工程人教版统编教材高中生物学2020新课改新课标新高考理综", "url": "https://www.bilibili.com/video/BV1W3411T7CL/"}
JSON: {"text": "生物统计学", "url": "https://www.bilibili.com/video/BV1tZ4y1V7Qs/"}
JSON: {"text": "喜欢放p的ATP来喽~ | 知识【高中生物必修1】", "url": "https://www.bilibili.com/video/BV1484y117Mv/"}
JSON: {"text": "丁明孝-第五版-细胞生物学-全程班", "url": "https://www.bilibili.com/video/BV15u411t7A6/"}
JSON: {"text": "张雪峰：那孩子要学生物，我说这是天坑，她说“不，我非要学”", "url": "https://www.bilibili.com/video/BV1s5411B75S/"}
JSON: {"text": "蛋仔派对：在蛋仔中也能学生物？这地图直接把教科书搬上来了！", "url": "https://www.bilibili.com/video/BV1Q94y1j7GF/"}
JSON: {"text": "水豚：情绪稳定，为什么它有“治愈心灵”的魔力？ 四种猜想，一大现象，原来这是一个十分有趣的生物学故事……|自说自话的总裁", "url": "https://www.bilibili.com/video/BV1vp421o73K/"}
JSON: {"text": "细胞生物学-考研细胞生物学-翟中和，丁明孝-第四版第五版", "url": "https://www.bilibili.com/video/BV1nM4y1d7vT/"}
JSON: {"text": "2021年重庆市高中生物优质课大赛一等奖   遗传与进化部分", "url": "https://www.bilibili.com/video/BV18h411e7f7/"}
JSON: {"text": "【选择性必修3】3.3基因工程的应用 选修3生物技术与工程人教版统编教材高中生物学2020新课改新课标新高考理综", "url": "https://www.bilibili.com/video/BV1W3411T7CL/"}
JSON: {"text": "德国生物学博士3块3 在德国大学食堂里能吃啥？", "url": "https://www.bilibili.com/video/BV1f7421K7Kd/"}
JSON: {"text": "生物统计学", "url": "https://www.bilibili.com/video/BV1tZ4y1V7Qs/"}
JSON: {"text": "喜欢放p的ATP来喽~ | 知识【高中生物必修1】", "url": "https://www.bilibili.com/video/BV1484y117Mv/"}
JSON: {"text": "用生物学来看奥特曼？鉴定一下赛文奥特曼里的水生怪兽原型！", "url": "https://www.bilibili.com/video/BV1RC4y1f7Cs/"}
JSON: {"text": "张雪峰：那孩子要学生物，我说这是天坑，她说“不，我非要学”", "url": "https://www.bilibili.com/video/BV1s5411B75S/"}
JSON: {"text": "蛋仔派对：在蛋仔中也能学生物？这地图直接把教科书搬上来了！", "url": "https://www.bilibili.com/video/BV1Q94y1j7GF/"}
JSON: {"text": "水豚：情绪稳定，为什么它有“治愈心灵”的魔力？ 四种猜想，一大现象，原来这是一个十分有趣的生物学故事……|自说自话的总裁", "url": "https://www.bilibili.com/video/BV1vp421o73K/"}
JSON: {"text": "细胞生物学-考研细胞生物学-翟中和，丁明孝-第四版第五版", "url": "https://www.bilibili.com/video/BV1nM4y1d7vT/"}
JSON: {"text": "2021年重庆市高中生物优质课大赛一等奖   遗传与进化部分", "url": "https://www.bilibili.com/video/BV18h411e7f7/"}
JSON: {"text": "福宝的两位爷爷竟然是生物学博士～这么卷的吗～福宝以后怕不是博士后了吧", "url": "https://www.bilibili.com/video/BV1ds4y1P7xq/"}
JSON: {"text": "哈佛细胞生物学动画：电子传递链，ATP合酶，线粒体，三羧酸循环……", "url": "https://www.bilibili.com/video/BV1JR4y1C7vW/"}
JSON: {"text": "生物必修第2册 生物必修二 遗传与进化 人教版 2023新版 高中生物必修2高一生物必修二生物学 2019版新课标", "url": "https://www.bilibili.com/video/BV1jK4y187VF/"}
JSON: {"text": "五分钟背下磷酸戊糖途径｜生化三大代谢背诵口诀方法｜生物化学带背 3", "url": "https://www.bilibili.com/video/BV1yK41137ys/"}
JSON: {"text": "华中科技大学 生物化学与分子生物学 全145讲 主讲-杨广笑 视频教程", "url": "https://www.bilibili.com/video/BV17x411z7uG/"}
JSON: {"text": "福宝的两位爷爷竟然是生物学博士～这么卷的吗～福宝以后怕不是博士后了吧", "url": "https://www.bilibili.com/video/BV1ds4y1P7xq/"}
JSON: {"text": "生物必修第2册 生物必修二 遗传与进化 人教版 2023新版 高中生物必修2高一生物必修二生物学 2019版新课标", "url": "https://www.bilibili.com/video/BV1jK4y187VF/"}
JSON: {"text": "哈佛细胞生物学动画：电子传递链，ATP合酶，线粒体，三羧酸循环……", "url": "https://www.bilibili.com/video/BV1JR4y1C7vW/"}
JSON: {"text": "【高中生物课程】人教版高二生物学选择性必修一名师同步课程，高中二年级上册生物选修1名师课堂（附配套PPT课件教学设计下载），2021年最新高二生物选修1视频课程", "url": "https://www.bilibili.com/video/BV1ih411t7ZN/"}
JSON: {"text": "五分钟背下磷酸戊糖途径｜生化三大代谢背诵口诀方法｜生物化学带背 3", "url": "https://www.bilibili.com/video/BV1yK41137ys/"}
JSON: {"text": "学生物的和学音乐的都沉默了。。。", "url": "https://www.bilibili.com/video/BV1Kj411w7QB/"}
JSON: {"text": "【植物细胞】叶绿体遇到强光后竟然会凝聚成一团！", "url": "https://www.bilibili.com/video/BV1NB4y1x7UQ/"}
JSON: {"text": "好莱坞真学霸的含金量！这大姐真是神经生物学博士啊！", "url": "https://www.bilibili.com/video/BV1uA4m1F7aF/"}
JSON: {"text": "【生物必修1常考重要实验】绿叶中色素的提取和分离 叶绿素的提取丙酮石油醚人教版统编教材高中生物学2019新课改新课标", "url": "https://www.bilibili.com/video/BV1Lz4y1D73u/"}
JSON: {"text": "初中生物七年级全册人教版生物七年级全册生物", "url": "https://www.bilibili.com/video/BV1Zt4y1U7Q2/"}
JSON: {"text": "我复现了一个能预测98.5%人类蛋白质的AI——为什么说AlphaFold足以改变全人类？一次始于AI的生物学飞跃", "url": "https://www.bilibili.com/video/BV1B34y1J7B2/"}
JSON: {"text": "初中生物学中考实验操作演示 - 练习使用显微镜", "url": "https://www.bilibili.com/video/BV1uZ4y117Um/"}
JSON: {"text": "AI让生物学界变了天，98.5%人类蛋白质结构被预测出来，到底意味着什么？", "url": "https://www.bilibili.com/video/BV1Xh411q7Zf/"}
JSON: {"text": "【选择性必修3】3.1-2限制酶怎么切质粒目的基因标记基因DNA粗提取 选修3生物技术与工程人教版统编教材高中生物学2020新课改新课标新高考理综", "url": "https://www.bilibili.com/video/BV1Di4y1r7EU/"}
JSON: {"text": "舟亢| 高中生物 | 理科适用 | 知识太杂？高效刷题？笔记整理？| 无保留分享", "url": "https://www.bilibili.com/video/BV1Fp4y197Qc/"}
JSON: {"text": "【选择性必修3】3.2-3目的基因导入检测与鉴定dna片段扩增与电泳鉴定选修3生物技术与工程人教版统编教材高中生物学2020新课改新课标新高考", "url": "https://www.bilibili.com/video/BV1BS4y1Y7sZ/"}
JSON: {"text": "用生物学来看奥特曼？鉴定一下赛文奥特曼里的水生怪兽原型！", "url": "https://www.bilibili.com/video/BV1RC4y1f7Cs/"}
JSON: {"text": "语文老师为了报复，怂恿学生和英语老师好上，真让英语老师教了生物学", "url": "https://www.bilibili.com/video/BV1zY411o7HN/"}
JSON: {"text": "【三体科学照进现实】用生物学打开三体", "url": "https://www.bilibili.com/video/BV1R24y1f7FX/"}
JSON: {"text": "德国生物学博士3块3 在德国大学食堂里能吃啥？", "url": "https://www.bilibili.com/video/BV1f7421K7Kd/"}
JSON: {"text": "微生物学 沈萍 第8版 微生物学考研", "url": "https://www.bilibili.com/video/BV1wm4y1q7ts/"}
JSON: {"text": "同类相食，可耻但有用！", "url": "https://www.bilibili.com/video/BV16P411v75s/"}
JSON: {"text": "【生物学网课必修1正课】1.1 细胞是生命活动的基本单位分子与细胞新人教版统编教材高中生物学202021新高考新课改新教材", "url": "https://www.bilibili.com/video/BV1Wa4y1v7vi/"}
JSON: {"text": "现代分子生物学-朱玉贤5版，四版-考研分子生物学", "url": "https://www.bilibili.com/video/BV16Y411P7La/"}
JSON: {"text": "【必修1新实验】用高倍显微镜观察叶绿体和细胞质的流动 人教版统编教材高中生物学2019新课改新课标", "url": "https://www.bilibili.com/video/BV11p4y1S7kz/"}
JSON: {"text": "【植物细胞】叶绿体遇到强光后竟然会凝聚成一团！", "url": "https://www.bilibili.com/video/BV1NB4y1x7UQ/"}
JSON: {"text": "微生物的培养和纯化", "url": "https://www.bilibili.com/video/BV1Yq4y1c7kv/"}
JSON: {"text": "【高中生物一轮复习】4.1-4.2细胞的增殖有丝分裂 实验 高中新高考生物学步步高复习课", "url": "https://www.bilibili.com/video/BV1bd4y1M7ti/"}
JSON: {"text": "细胞信号通路合集: Wnt, mTOR, MAPK, Hippo, JAK/STAT, RAS, Notch, PI3K, NF-κB, ER, TGFβ...", "url": "https://www.bilibili.com/video/BV1d44y1D7Lf/"}
JSON: {"text": "用生物学来看奥特曼？ 鉴定一下艾斯奥特曼里的水生怪兽原型！", "url": "https://www.bilibili.com/video/BV1Ww411x7fH/"}
JSON: {"text": "它违背了生物学常识仅凭一己之力完成了生命的进化虽然这种进化可能有点偏离了方向？", "url": "https://www.bilibili.com/video/BV178411v7Ra/"}
JSON: {"text": "古生物学有初中课本了！", "url": "https://www.bilibili.com/video/BV1c24y1p7og/"}
JSON: {"text": "【选择性必修3】3.2-3目的基因导入检测与鉴定dna片段扩增与电泳鉴定选修3生物技术与工程人教版统编教材高中生物学2020新课改新课标新高考", "url": "https://www.bilibili.com/video/BV1BS4y1Y7sZ/"}
